x-axis E-06, 1 E-03
second,Volt
-4.775000,+279.616831336
-4.770000,+279.114318779
-4.765000,+271.576630417
-4.760000,+239.415826742
-4.755000,+191.174621228
-4.750000,-170.131907566
-4.745000,-315.358036663
-4.740000,-323.398237582
-4.735000,-299.277634826
-4.730000,-274.654519511
-4.725000,-267.116831150
-4.720000,-290.734921349
-4.715000,-283.197232988
-4.710000,-267.116831150
-4.705000,-202.795223799
-4.700000,+166.551505914
-4.695000,+303.737434093
-4.690000,+287.657032255
-4.685000,+287.657032255
-4.680000,+247.456027661
-4.675000,+279.616831336
-4.670000,+271.576630417
-4.665000,+263.536429498
-4.660000,+239.415826742
-4.655000,+199.214822147
-4.650000,-162.091706647
-4.645000,-314.855524106
-4.640000,-315.358036663
-4.635000,-299.277634826
-4.630000,-275.157032069
-4.625000,-275.157032069
-4.620000,-291.237433907
-4.615000,-283.197232988
-4.610000,-259.076630231
-4.605000,-202.795223799
-4.600000,+150.471104076
-4.595000,+295.697233174
-4.590000,+287.657032255
-4.585000,+279.114318779
-4.580000,+271.074117860
-4.575000,+287.657032255
-4.570000,+271.576630417
-4.565000,+255.496228579
-4.560000,+239.415826742
-4.555000,+191.174621228
-4.550000,-154.051505728
-4.545000,-306.815323187
-4.540000,-307.317835744
-4.535000,-299.277634826
-4.530000,-275.157032069
-4.525000,-283.197232988
-4.520000,-282.694720430
-4.515000,-274.654519511
-4.510000,-259.076630231
-4.505000,-202.795223799
-4.500000,+150.471104076
-4.495000,+279.616831336
-4.490000,+271.576630417
-4.485000,+271.576630417
-4.480000,+263.536429498
-4.475000,+287.657032255
-4.470000,+263.536429498
-4.465000,+255.496228579
-4.460000,+223.335424904
-4.455000,+199.214822147
-4.450000,-137.971103890
-4.445000,-283.197232988
-4.440000,-291.237433907
-4.435000,-291.237433907
-4.430000,-275.157032069
-4.425000,-283.197232988
-4.420000,-267.116831150
-4.415000,-259.076630231
-4.410000,-251.036429312
-4.405000,-210.835424718
-4.400000,+134.390702238
-4.395000,+271.576630417
-4.390000,+255.496228579
-4.385000,+263.033916941
